City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Caconda,AO,-13.7333,15.0667,65.97,70,100,3.0,overcast clouds
323,Dudinka,RU,69.4058,86.1778,-9.83,100,94,5.66,overcast clouds
324,Camana,PE,-16.6228,-72.7111,65.46,83,0,5.86,clear sky
325,Chuy,UY,-33.6971,-53.4616,63.7,97,95,8.01,overcast clouds
326,Mount Gambier,AU,-37.8333,140.7667,64.31,48,5,6.91,clear sky
327,Rio Gallegos,AR,-51.6226,-69.2181,51.85,43,0,31.07,clear sky
328,Port-Cartier,CA,50.0334,-66.8654,48.42,95,100,20.18,overcast clouds
329,Olafsvik,IS,64.8945,-23.7142,34.86,71,22,17.31,few clouds
330,Kilakarai,IN,9.2333,78.7833,76.96,89,100,14.03,overcast clouds
331,Alofi,NU,-19.0595,-169.9187,80.49,69,28,14.97,scattered clouds
332,Ulaanbaatar,MN,47.9077,106.8832,33.93,51,75,17.9,broken clouds
333,Monte Alegre De Sergipe,BR,-10.0272,-37.5622,72.45,83,100,8.86,overcast clouds
334,San Cristobal,VE,7.7669,-72.225,69.98,98,99,0.94,overcast clouds
335,Huarmey,PE,-10.0681,-78.1522,65.16,81,8,8.1,clear sky
336,Williston,US,48.147,-103.618,35.04,53,6,1.01,clear sky
337,Kandrian,PG,-6.2167,149.55,85.91,69,96,11.18,light rain
338,Puerto Madryn,AR,-42.7692,-65.0385,50.45,72,100,8.61,overcast clouds
339,Crawfordsville,US,40.0411,-86.8745,50.02,76,1,0.0,clear sky
340,Roebourne,AU,-20.7833,117.1333,77.72,52,0,8.32,clear sky
341,Sarankhola,BD,22.3082,89.7897,68.65,77,15,4.63,few clouds
342,Chiredzi,ZW,-21.05,31.6667,67.87,72,0,5.32,clear sky
